protected_attribute,bias_score,stereotype_preference_rate,category_bias_score
age,0.22552086477289737,0.4554942966872259,0.10287497433741628
gender,0.12431064465870338,0.5409865686847918,0.16792455456095406
religion,0.15750793076933384,0.5190149646329555,0.2946179064865556
religion,0.16913679024364955,0.47549493516207314,0.21852853484433193
age,0.39785918928899033,0.47499489156863,0.2727749505372661
gender,0.3767503272136681,0.46843718650005567,0.1792881906879641
age,0.11365646862688554,0.46361771671364277,0.19239868805865112
gender,0.3070317612198042,0.478686641311803,0.2651285246919034
gender,0.3457445785385168,0.49583799825758845,0.18234012027713994
race,0.20831116010003392,0.5396650127586048,0.18770783506776312
age,0.1924972422707985,0.48033741916432077,0.26008045214254294
age,0.35370485001931984,0.5209829338307137,0.2091769484461119
religion,0.14617229187076514,0.4591033793333157,0.2652959890746313
age,0.1526881130241669,0.5199698104287925,0.21104852495679213
race,0.30004555118542553,0.4696973174769368,0.1357391232964363
gender,0.2715955400476323,0.48873628864965923,0.23404826353897448
race,0.3329209997095226,0.5127159775278196,0.14596570269010317
gender,0.2370794956066988,0.5428483334153128,0.14105758045308386
gender,0.17346999554311862,0.5431072793082483,0.14182423883206502
religion,0.15833019285798247,0.4982065109364228,0.21354042055441363
gender,0.2633517635078033,0.4773374215671441,0.1536363996460153
gender,0.1002582313293151,0.4757863269458281,0.25290709712324927
age,0.1925505554183487,0.5248490111109536,0.2989864106868629
race,0.34393987474915616,0.5164027996946365,0.16493485222570467
age,0.3247439724541734,0.5136171585409641,0.17799544174096008
gender,0.24385810063188984,0.5085856786104428,0.1589252870192039
religion,0.38093795009648945,0.5219431127073985,0.18956079410585358
race,0.39309634987882724,0.5260298256701308,0.27429769424241124
race,0.1280182349683291,0.5132173854979059,0.19982589459224953
age,0.17950914911356453,0.5194982000267837,0.22798936645134021
race,0.39038201938980244,0.4830580482768925,0.19620750514803054
gender,0.25988083298613207,0.5417784727914513,0.1436841542483197
race,0.32349363126817,0.464755536292323,0.29207877095818124
religion,0.2966954723740084,0.5276038954051483,0.13598489208835077
age,0.24533288914348808,0.45214224555579935,0.29019970727729766
religion,0.25022397543446606,0.5075975655961413,0.2755593781199036
race,0.35549861265764393,0.4795106292374118,0.22251031617341038
religion,0.16933606368518897,0.5381407064973902,0.2448715442251829
gender,0.3308789576340572,0.4575481092179085,0.11616190079273203
religion,0.299818735659263,0.5426815272792203,0.11223442507182291
age,0.36943027280232654,0.5086104794984851,0.14656801972330974
gender,0.17851419951523106,0.47333748231223255,0.22865761935149706
age,0.34285522278638614,0.4677873940532488,0.1942920249941945
race,0.23951854506178244,0.45079425063115747,0.13739866027232123
age,0.24627643231139806,0.4975724037984654,0.28178651948459105
age,0.29099359860243806,0.5169597397005521,0.12519956309561137
gender,0.1251159872822235,0.5442343319577975,0.269392155887154
gender,0.2974031438196064,0.49307431024029585,0.21939674523278707
gender,0.10439653909427138,0.4887923645513429,0.18547284504822953
age,0.2951621451773485,0.4860218213048449,0.2324716088465292
religion,0.24415197488215892,0.5196528531127189,0.2691921810268407
race,0.24454347486447336,0.5462707578035921,0.20549135241544036
religion,0.12005432896246063,0.5197650042244637,0.21958056729462266
age,0.295894036246265,0.5076395057503856,0.2347243905830528
age,0.20094205975956334,0.5457411527274185,0.255489310167284
race,0.3092032802890092,0.47818513721357303,0.12292119093033388
religion,0.132074161039841,0.4753437396717981,0.20753759295445545
age,0.10808421249976376,0.5334074361773535,0.17737740666663526
age,0.12197445266503551,0.45258727749448346,0.13799797243635353
gender,0.17971646188750956,0.5361304158297597,0.17666761644932527
age,0.17621585302244483,0.4799036943169324,0.10140076866651007
race,0.18752211448511769,0.5218079170086465,0.28165004443562147
religion,0.19178266002532268,0.5042569205500418,0.2957695414838651
gender,0.18311181555923614,0.4942828300632307,0.23432204728400594
religion,0.36734447979601836,0.5200024895702524,0.22425091632864047
race,0.29849009990929576,0.48834215344907156,0.156585688208505
gender,0.1633646572216402,0.47722952193155793,0.2566230079853071
religion,0.29174871760647336,0.4839353574109236,0.11737637899567528
gender,0.10294429894594084,0.492086817471809,0.29437936955806954
religion,0.20264516679495614,0.49689169426263075,0.267745792279446
religion,0.3080070672559254,0.49175742761359525,0.13873607665693716
gender,0.15434067469402535,0.5376929389744376,0.1582373043357484
gender,0.3445574786828587,0.4775520476907232,0.13336634730005964
race,0.275870259931127,0.47888830081263567,0.23611820591892396
race,0.22445936154138302,0.5482186936978211,0.24923651642830585
age,0.33761699200558715,0.539044317199948,0.16554516898296212
age,0.18851413358924532,0.5108806612713492,0.14105877455097654
race,0.16688204084365876,0.5057325066942986,0.20713989967441027
religion,0.38865903643550614,0.4968125186834869,0.1279622048036908
age,0.3614020880562461,0.5304109882219971,0.14658865304444396
religion,0.1612024276014447,0.4625963368104421,0.21150976980831077
race,0.37432348632526724,0.4748862935688109,0.19535492081151967
gender,0.2196898460627146,0.5206522100323197,0.22252259449828946
age,0.1699188292332222,0.5225542670955176,0.14089957380241408
race,0.18024235916880166,0.5314114357280915,0.22630426536096507
religion,0.14018291548139922,0.5117433096045879,0.2667454074989505
age,0.10565526264706038,0.5185156686363376,0.18057341072419555
gender,0.31385789089816396,0.46200352899547126,0.12279361991085709
religion,0.21776346218869413,0.4659479947554507,0.11276485455350194
age,0.28015763716465364,0.4671862776047753,0.29818634039314396
race,0.2804027289719335,0.4864928414101007,0.2771514708053605
religion,0.18774943314026096,0.4818936954090278,0.26415828342435377
age,0.227717355865892,0.4892475428474331,0.24973770179982072
age,0.2700836580958098,0.544951951251063,0.23419345422948926
gender,0.18486780405246567,0.4980738766290135,0.1513511968436907
race,0.3523062894615472,0.5442132555332119,0.14147638571030527
gender,0.12460492868888905,0.45576460566971566,0.18886844495931537
gender,0.24984630705659383,0.5247457492071694,0.22832789029633263
age,0.2934671297224654,0.5155092381862976,0.13942276803509593
race,0.3380535987633471,0.46318793534921093,0.21799397544075594
